Unnamed: 0,Surname,#Awards,Education,DBLP
350,LeCun,3,"['ESIEE Paris', 'MS', 'Pierre and Marie Curie University', 'PhD']",345
351,Lerdorf,0,['University of Waterloo'],5
353,Levin,2,"['Moscow University', 'Massachusetts Institute of Technology']",96
354,Leyton-Brown,1,"['McMaster University', 'Stanford University']",195
355,Licklider,0,"['Washington University in St. Louis', 'University of Rochester']",0
356,Liddle,0,[],57
357,Liedtke,0,"['Bielefeld University', 'Technical University of Berlin']",39
358,Lions,0,"['University of Sydney', 'University of Cambridge']",10
359,Lindsey,0,[],17
360,Lipton,2,['Carnegie Mellon'],236
361,Liskov,3,"['University of California, Berkeley', 'Stanford University']",163
362,Liu,0,"['Cornell University', 'Tsinghua University', 'Peking University']",389
363,Long,2,"['San Diego State University', 'University of California, San Diego']",217
364,Lopez,1,['New Mexico State University'],274
365,Lovegrove,0,"['Newnham College, Cambridge', 'Cambridge University']",7
366,Luckham,0,"['Ph.D.', 'MIT']",53
367,Luks,3,[],41
368,Lynch,7,"['Brooklyn College', 'MIT']",389
369,Thalmann,2,"['University of Geneva', 'École Polytechnique Fédérale de Lausanne']",592
370,Maibaum,1,"['B.Sc.', 'University of Toronto', 'Ph.D.', 'University of London']",200
371,Marlow,2,"['University of Glasgow', 'University of Bristol']",49
372,Manna,4,"['Technion – Israel Institute of Technology', 'Carnegie Mellon University']",190
373,Martin,3,['University of Oxford'],5384
374,Martin,0,[],5384
375,Mashey,0,[],18
376,Matiyasevich,3,['Leningrad State University'],46
377,Matsumoto,0,"['University of Tsukuba', 'Shimane University']",22
378,Mauchly,3,['Johns Hopkins University'],4
379,Maulik,11,"['Nabadwip Bakultala High School', 'Calcutta University', 'Jadavpur University']",212
380,McAuley,1,['University of Cambridge'],86
381,McCarthy,6,"['Princeton University', 'California Institute of Technology']",300
382,McCallum,1,"['Dartmouth College', 'University of Rochester', '[2]']",420
383,McIlroy,3,"['Cornell University', 'Massachusetts Institute of Technology']",26
384,McKinstry,0,[],5
385,McKusick,0,"['University of California, Berkeley']",40
386,Meertens,2,[],33
